ERG,count
"KDM2A>FNBP1L,+",1
"CHD1>FNBP1L,+",1
"ARPC3>LSM14A,+",1
"GHITM>LSM14A,+",1
"ARL2>PAK2,+",1
"ANAPC11>KMT2A,+",1
"KANSL1>MT-CO2,+",1
"ARL2>BTN3A2,+",1
"ARL2>GHITM,+",1
"RPL37>PPIG,+",1
"RPL37>RPS21,+",1
"ABCD4>C19orf70,+",1
"HSBP1>ERG,+",1
"TTC1>ERG,+",1
"ANAPC11>GIMAP7,+",1
"NIPBL>KDM2A,+",1
"ANAPC11>NASP,+",1
"ARPC3>DNTTIP2,-",1
"FNBP1L>CDC37,+",1
"FNBP1L>GNB1,+",1
"SARS>CDC37,+",1
"PAK2>CTNND1,+",1
"NASP>IFITM2,+",1
"ARPC3>RPS16,+",1
"SARS>RPS16,+",1
"CDC37>CD151,+",1
"PCM1>CD151,+",1
"CDC37>GNB1,+",1
"WTAP>GNB1,+",1
"SARS>SUCLG1,+",1
"B2M>ATP6V1G1,+",1
"EIF4H>ZC3H13,+",1
"FNBP1L>MT-ND4,+",1
"NEDD8>UQCRB,+",1
"HIKESHI>HNRNPD,+",1
"NEDD8>CHMP4A,+",1
"ADH5>CHMP4A,+",1
"CSDE1>CHMP4A,+",1
"TMEM123>ENSA,+",1
"SRRM1>ENSA,+",1
"SNF8>HOXD8,-",1
"TTC1>HOXD8,+",1
"ADH5>HOXD8,+",1
"SRRM1>SURF4,+",1
"ARL2>SURF4,+",1
"SRRM1>CSDE1,+",1
"VPS36>SNF8,+",1
"SURF4>HIKESHI,+",1
"SURF4>FAM171A1,+",1
"VPS36>FAM171A1,-",1
"ISCU>ADH5,+",1
"SURF4>ADH5,+",1
"GAPDH>ADH5,+",1
"RPL22L1>ADH5,+",1
"ADH5>C6orf89,+",1
"MTRNR2L12>NFE2L1,+",1
"HNRNPD>NFE2L1,+",1
"CSDE1>UPF3A,+",1
"WTAP>WWP1,+",1
"MT-CYB>MT-ND3,+",1
"CHD1>MT-ND3,+",1
"GHITM>HNRNPU,+",1
"LSM14A>HNRNPU,+",1
"GNB1>WTAP,+",1
"DNTTIP2>WTAP,+",1
