gene,total_count
HMGN3,108.09994735924576
GNAS,108.07559729447777
UFC1,107.99798094301036
BIN2,107.93228298440587
ATP5B,107.8821585872846
CARD16,107.8375228676276
FBL,107.81579748411797
PSMB6,107.80251370797576
SBDS,107.7874462297357
MAP1LC3B,107.78197617030136
CD83,107.71140904697795
ERH,107.68490150180864
RILPL2,107.67192551063677
SSBP1,107.6162691656016
TMBIM6,107.59184513089973
TUBB4B,107.5574640457228
CMTM6,107.52049163080832
SRRM2,107.48037757281848
GNG5,107.4345458742649
BZW1,107.42775197592893
LINC00152,107.28211804273403
RPA2,107.28183119219321
NDFIP1,107.1906458513195
PSMA1,107.15709200952571
ARPC4,107.04267516947147
MYH9,106.9814038445916
CTSC,106.9259937959646
CD44,106.82710642591219
WSB1,106.69200947696363
TMBIM4,106.64539437037998
MGEA5,106.63351005413216
KIF5B,106.60856982870355
HP1BP3,106.5913524896597
SHFM1,106.56097319457774
C6ORF48,106.50967275376006
NOP56,106.46546214841895
SYTL1,106.3502206896125
RSBN1,106.32751475940704
SRI,106.31555012583975
LINC00861,106.09625870142727
PSIP1,106.05991731793513
DAD1,106.01888354585056
GIMAP1,105.88348717656706
SOCS1,105.84556130291483
LINC00493,105.83751294779005
CCDC109B,105.82924850195558
ATP5F1,105.79746378771445
UTRN,105.76262827440911
EIF3L,105.64444890051524
SNRPD3,105.63457237364705
SELT,105.62772966689933
EIF1B,105.57953402931481
ALKBH7,105.57639073733996
MRPL20,105.56679847230959
USP16,105.5526795812403
PHB,105.54191559386722
CHMP2A,105.47184416780036
ZFAND6,105.42189213224705
BBX,105.37008001725548
VDAC2,105.3665427858349
COPS6,105.33033524671194
CDC42SE1,105.32499658941771
YWHAQ,105.31242823810709
SH3KBP1,105.30913793785956
POLR2G,105.27756512083296
TBCB,105.25647796679037
FAM49B,105.15126629975543
ABRACL,105.05631612270336
CD79B,105.04156824882513
PSMA4,105.01141434068566
CAMLG,104.9639347569428
SVIP,104.95436287919581
CD63,104.945623540232
PCBP1,104.902556017282
NDUFB10,104.89734786326267
CLIC3,104.85378537257293
ANXA2R,104.8494099166011
C19ORF70,104.84508857369623
HMOX2,104.82670189799904
MAF1,104.82494784793329
NDUFA3,104.7378441746227
SLC25A5,104.72489755491446
FAAP20,104.71750416124904
CAP1,104.63234817246638
ILF3-AS1,104.59883086079893
NDUFA5,104.5984598306196
GLIPR1,104.58550957519846
SNX3,104.55296435478483
TGOLN2,104.47582405259838
GABPB1-AS1,104.47502258371088
HSPH1,104.42352118667905
CFLAR,104.37286994300992
SEC11A,104.3247780314497
FRG1,104.3245663262189
DSTN,104.31005215771303
SNRPE,104.28745812447441
CHD1,104.26524746955191
ARPC5,104.19768934964668
FLNA,104.18204034697452
CALR,104.17814848552072
GABPB1,104.11523534497213
COX7A2L,103.95569997426641
NDUFB1,103.91677739523124
SF3B2,103.86084835770768
LCP1,103.85562453667013
PLEK,103.84479039696498
RNF19A,103.75190267037536
MGAT4A,103.70101019984811
RAP1B,103.69052514502084
ATP6V1F,103.68596598702635
C17ORF89,103.62077140537903
DRAP1,103.61838848081833
NDUFS7,103.58546797780714
AP2B1,103.49433618297032
MRFAP1,103.45255060988598
RABAC1,103.44864331561998
BSG,103.41675774354249
POLR2F,103.4099550638249
TMEM2,103.38108435323417
HSPB1,103.37549683449502
CSTB,103.33574985008974
CDC37,103.32186963484025
TSPYL2,103.30924425830592
TBCC,103.27153692521125
TECR,103.12137112145074
SCML4,103.11980494658255
BRD2,103.1041380140904
FOS,103.06423087179529
SYNE2,103.03219561853396
MEAF6,102.99218821656632
SDF2,102.98137967473959
FAM96B,102.97380065691124
DOK2,102.93727466274672
ACTR2,102.89395068444222
DGUOK,102.82811358562196
PRPF4B,102.80897653105278
SDCBP,102.72307753388091
C9ORF78,102.7215734963604
GTF2B,102.71983392400327
LSM3,102.68637429273912
NDUFAF3,102.66185393690928
PGK1,102.6495338648584
METAP2,102.61453797657549
HSPD1,102.59480286240462
SCAND1,102.56347323938172
TMEM14B,102.4683649576921
ATP6V0B,102.46508353523622
NAA38,102.43379362879497
DYNLRB1,102.4287112380851
TMCO1,102.42080508160242
IFITM1,102.4148410137449
CCL3L3,102.30039433085285
NDUFB4,102.22238967913157
KRTCAP2,102.18452902116383
NMT1,102.17494837937151
HNRNPH3,102.17381663893137
DHX36,102.09158681852628
RNF125,102.05763782761586
NDUFA12,101.97292816829336
PRRC2C,101.95412181558262
XRCC5,101.91589378335658
C14ORF166,101.91038436134312
ATG12,101.82428893197675
PIN1,101.81658094041762
LSM5,101.81481468225256
UGP2,101.7743940544044
LMAN2,101.7697702969105
TMED9,101.76895480248523
POLR1D,101.68830645509406
SNRPD1,101.67314976689138
POLE4,101.633447107715
WBSCR22,101.59962704446521
DYNLT1,101.59200423086679
FAM133B,101.5844593501477
NSA2,101.55838041704527
ATP5J,101.54925856866396
PRDX6,101.51328798945279
SMAP2,101.46994582674317
MSN,101.46782487212351
EML4,101.44913377200712
SQSTM1,101.44358230856965
RWDD1,101.35882091651584
